512000;roundtrip;local;fileref;0,0772;0,0745;0,078;0,0795;local;datacall;0,0894;0,08;0,084;0,1015;remote;fileref;0,1066;0,1005;0,104;0,114;remote;datacall;0,0836;0,0805;0,082;0,0875;processing;local;fileref;0,0314;0,029;0,031;0,034;local;datacall;0,0424;0,0325;0,035;0,056;remote;fileref;0,0342;0,029;0,031;0,041;remote;datacall;0,0344;0,033;0,034;0,036;call_f1_f2;local;fileref;0,0166;0,014;0,017;0,019;local;datacall;0,0212;0,0195;0,021;0,023;remote;fileref;0,0188;0,0155;0,02;0,0215;remote;datacall;0,0228;0,0215;0,023;0,024;fetch_file;local;fileref;0,0;0,0;0,0;0,0;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,026;0,0245;0,025;0,028;remote;datacall;0,0;0,0;0,0;0,0
1048576;roundtrip;local;fileref;0,1216;0,1;0,111;0,1485;local;datacall;0,1076;0,1045;0,106;0,1115;remote;fileref;0,1608;0,157;0,16;0,165;remote;datacall;0,1318;0,122;0,128;0,1435;processing;local;fileref;0,0724;0,0535;0,059;0,098;local;datacall;0,058;0,057;0,058;0,059;remote;fileref;0,078;0,0755;0,079;0,08;remote;datacall;0,0682;0,0585;0,062;0,081;call_f1_f2;local;fileref;0,0196;0,0185;0,02;0,0205;local;datacall;0,0242;0,022;0,023;0,027;remote;fileref;0,017;0,016;0,017;0,018;remote;datacall;0,0342;0,0325;0,035;0,0355;fetch_file;local;fileref;0,0006;0,0;0,001;0,001;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,0332;0,032;0,033;0,0345;remote;datacall;0,0;0,0;0,0;0,0
2097152;roundtrip;local;fileref;0,1634;0,1595;0,162;0,168;local;datacall;0,1668;0,165;0,166;0,169;remote;fileref;0,2156;0,2015;0,214;0,2305;remote;datacall;0,2068;0,1885;0,19;0,2335;processing;local;fileref;0,11;0,108;0,11;0,112;local;datacall;0,1086;0,107;0,108;0,1105;remote;fileref;0,117;0,1035;0,109;0,1345;remote;datacall;0,1274;0,108;0,115;0,153;call_f1_f2;local;fileref;0,0168;0,0155;0,016;0,0185;local;datacall;0,0266;0,025;0,026;0,0285;remote;fileref;0,0168;0,015;0,016;0,019;remote;datacall;0,0462;0,0435;0,047;0,0485;fetch_file;local;fileref;0,0012;0,001;0,001;0,0015;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,0462;0,0445;0,047;0,0475;remote;datacall;0,0;0,0;0,0;0,0
4194304;roundtrip;local;fileref;0,2986;0,281;0,305;0,313;local;datacall;0,3214;0,3025;0,332;0,335;remote;fileref;0,3892;0,372;0,387;0,4075;remote;datacall;0,3494;0,3285;0,345;0,3725;processing;local;fileref;0,229;0,2145;0,236;0,24;local;datacall;0,2402;0,222;0,248;0,2545;remote;fileref;0,244;0,2295;0,246;0,2575;remote;datacall;0,232;0,212;0,227;0,2545;call_f1_f2;local;fileref;0,0142;0,013;0,013;0,016;local;datacall;0,0442;0,036;0,048;0,0505;remote;fileref;0,0142;0,0125;0,015;0,0155;remote;datacall;0,0772;0,0685;0,078;0,0855;fetch_file;local;fileref;0,014;0,002;0,008;0,029;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,087;0,0815;0,089;0,0915;remote;datacall;0,0;0,0;0,0;0,0
8388608;roundtrip;local;fileref;0,5874;0,5555;0,596;0,615;local;datacall;0,6302;0,5915;0,631;0,6685;remote;fileref;0,6788;0,649;0,671;0,7125;remote;datacall;0,6506;0,6295;0,642;0,676;processing;local;fileref;0,5074;0,4685;0,512;0,544;local;datacall;0,4938;0,4445;0,49;0,545;remote;fileref;0,4672;0,443;0,46;0,495;remote;datacall;0,4692;0,4405;0,471;0,497;call_f1_f2;local;fileref;0,0212;0,0125;0,013;0,034;local;datacall;0,0876;0,083;0,089;0,0915;remote;fileref;0,0212;0,0145;0,018;0,0295;remote;datacall;0,13;0,1205;0,132;0,1385;fetch_file;local;fileref;0,0126;0,0045;0,008;0,023;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,1344;0,121;0,141;0,1445;remote;datacall;0,0;0,0;0,0;0,0
16777216;roundtrip;local;fileref;1,1486;1,097;1,163;1,193;local;datacall;1,255;1,1775;1,212;1,354;remote;fileref;1,1386;1,0355;1,191;1,2155;remote;datacall;1,182;1,1645;1,175;1,203;processing;local;fileref;1,0234;0,9685;1,035;1,0725;local;datacall;0,9648;0,924;0,95;1,013;remote;fileref;0,7702;0,672;0,83;0,8385;remote;datacall;0,8414;0,833;0,84;0,8505;call_f1_f2;local;fileref;0,0152;0,013;0,016;0,017;local;datacall;0,215;0,1755;0,191;0,2665;remote;fileref;0,0174;0,0165;0,017;0,0185;remote;datacall;0,2698;0,2555;0,265;0,2865;fetch_file;local;fileref;0,0234;0,011;0,017;0,039;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,2518;0,246;0,247;0,26;remote;datacall;0,0;0,0;0,0;0,0
33554432;roundtrip;local;fileref;3,0388;2,9085;2,983;3,197;local;datacall;3,0786;3,0145;3,048;3,158;remote;fileref;2,465;2,375;2,462;2,5565;remote;datacall;2,4618;2,436;2,456;2,4905;processing;local;fileref;2,7704;2,6455;2,729;2,916;local;datacall;2,5948;2,4705;2,612;2,7105;remote;fileref;1,7584;1,6935;1,777;1,814;remote;datacall;1,818;1,8075;1,818;1,8285;call_f1_f2;local;fileref;0,0382;0,0175;0,048;0,054;local;datacall;0,3386;0,298;0,349;0,374;remote;fileref;0,0386;0,0165;0,052;0,054;remote;datacall;0,4894;0,4565;0,475;0,5295;fetch_file;local;fileref;0,0546;0,0345;0,065;0,0695;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,4922;0,4685;0,503;0,5105;remote;datacall;0,0;0,0;0,0;0,0
67108864;roundtrip;local;fileref;5,517;5,476;5,485;5,574;local;datacall;5,8982;5,721;5,77;6,1395;remote;fileref;4,666;4,6375;4,656;4,6995;remote;datacall;4,6582;4,5745;4,627;4,7575;processing;local;fileref;5,038;5,0055;5,03;5,0745;local;datacall;4,9914;4,906;4,995;5,075;remote;fileref;3,3116;3,2915;3,314;3,3305;remote;datacall;3,4214;3,353;3,371;3,515;call_f1_f2;local;fileref;0,0236;0,0125;0,014;0,0395;local;datacall;0,6536;0,5245;0,6;0,8095;remote;fileref;0,0232;0,016;0,017;0,0335;remote;datacall;0,955;0,9345;0,959;0,9735;fetch_file;local;fileref;0,0934;0,0745;0,092;0,113;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;0,9766;0,96;0,962;1,0005;remote;datacall;0,0;0,0;0,0;0,0
134217728;roundtrip;local;fileref;11,6948;10,933;10,942;12,833;local;datacall;11,5364;11,3705;11,551;11,695;remote;fileref;9,1228;9,0875;9,124;9,1575;remote;datacall;8,9466;8,9085;8,955;8,9805;processing;local;fileref;10,7772;10,0015;10,101;11,891;local;datacall;9,9398;9,7885;9,951;10,0855;remote;fileref;6,5144;6,46;6,52;6,566;remote;datacall;6,5762;6,5365;6,578;6,615;call_f1_f2;local;fileref;0,016;0,014;0,016;0,018;local;datacall;1,1064;1,0835;1,095;1,135;remote;fileref;0,0236;0,015;0,016;0,036;remote;datacall;1,8662;1,837;1,852;1,9025;fetch_file;local;fileref;0,2032;0,181;0,193;0,2305;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;1,8956;1,89;1,895;1,9015;remote;datacall;0,0;0,0;0,0;0,0
268435456;roundtrip;local;fileref;22,3992;21,8955;22,544;22,8305;local;datacall;22,8088;22,293;22,488;23,485;remote;fileref;17,5606;17,457;17,515;17,687;remote;datacall;17,4168;17,149;17,306;17,74;processing;local;fileref;20,8524;20,327;20,952;21,328;local;datacall;19,739;19,089;19,339;20,589;remote;fileref;12,6388;12,5955;12,632;12,6855;remote;datacall;12,9758;12,698;12,821;13,331;call_f1_f2;local;fileref;0,014;0,0115;0,014;0,0165;local;datacall;2,256;1,8865;2,054;2,7265;remote;fileref;0,024;0,015;0,016;0,037;remote;datacall;3,6028;3,582;3,607;3,6215;fetch_file;local;fileref;0,3314;0,3135;0,317;0,3565;local;datacall;0,0;0,0;0,0;0,0;remote;fileref;3,683;3,639;3,659;3,739;remote;datacall;0,0;0,0;0,0;0,0
